key,Rare disease,link,description
post-985,Cogan Reese Syndrome,https://rarediseases.org/rare-diseases/cogan-reese-syndrome/,"ICE Syndrome, Cogan-Reese Typeiridocorneal endothelial (ICE) syndrome, Cogan-Reese typeiris naevus syndromeiris nevus syndrome"
post-986,Cohen Syndrome,https://rarediseases.org/rare-diseases/cohen-syndrome/,Pepper Syndrome
post-259166,Cohen-Gibson Syndrome,https://rarediseases.org/rare-diseases/cohen-gibson-syndrome/,EED-related overgrowthEED-related neurodevelopmental disorder
post-1963,COL4A1/A2-Related Disorders,https://rarediseases.org/rare-diseases/col4a1-a2-related-disorders/,COL4A1/A2 syndromeGould syndrome
post-775,Cold Agglutinin Disease,https://rarediseases.org/rare-diseases/cold-agglutinin-disease/,CADcold agglutinin hemolytic anemiacold antibody hemolytic anemiacold antibody disease
post-988,Collagen Type VI-Related Disorders,https://rarediseases.org/rare-diseases/collagen-type-vi-related-disorders/,benign congenital myopathy with contracturesUllrich disease
post-989,Colorado Tick Fever,https://rarediseases.org/rare-diseases/colorado-tick-fever/,CTFMountain FeverMountain Tick Fever
post-990,Common Variable Immune Deficiency,https://rarediseases.org/rare-diseases/common-variable-immune-deficiency/,"acquired hypogammaglobulinemiacommon variable hypogammaglobulinemiacommon variable immunodeficiencyCVICVIDimmunodeficiency, common variablelate-onset immunoglobulin deficiency"
post-1998,Complete DiGeorge Syndrome,https://rarediseases.org/rare-diseases/complete-digeorge-syndrome/,cDGSDiGeorge syndrome with athymia
post-1652,Complex Regional Pain Syndrome,https://rarediseases.org/rare-diseases/reflex-sympathetic-dystrophy-syndrome/,CRPS
post-991,Cone Dystrophy,https://rarediseases.org/rare-diseases/cone-dystrophy/,retinal cone degenerationretinal cone dystrophy
post-992,Congenital Adrenal Hyperplasia,https://rarediseases.org/rare-diseases/congenital-adrenal-hyperplasia/,adrenogenital syndromeCAH
post-739,Congenital Afibrinogenemia,https://rarediseases.org/rare-diseases/afibrinogenemia-congenital/,N/A
post-91164,Congenital Athymia,https://rarediseases.org/rare-diseases/congenital-athymia/,N/A
post-993,Congenital Bilateral Perisylvian Syndrome,https://rarediseases.org/rare-diseases/congenital-bilateral-perisylvian-syndrome/,CBPS
post-994,Congenital Central Hypoventilation Syndrome,https://rarediseases.org/rare-diseases/congenital-central-hypoventilation-syndrome/,congenital failure of respiratory driveCCHSHADDAD syndromeOndine’s curse
post-844,Congenital Contractural Arachnodactyly,https://rarediseases.org/rare-diseases/congenital-contractural-arachnodactyly/,"CCABeals syndromeBeals-Hecht syndromearthrogryposis, distal, type 9"
post-995,Congenital Disorders of Glycosylation,https://rarediseases.org/rare-diseases/congenital-disorders-of-glycosylation/,CDGCDG syndromecarbohydrate-deficient glycoprotein syndromes
post-1599,Congenital Erythropoietic Porphyria,https://rarediseases.org/rare-diseases/congenital-erythropoietic-porphyria/,CEPGunther diseaseuroporphyrinogen III synthase deficiencyUROS deficiency
post-996,Congenital Fiber Type Disproportion,https://rarediseases.org/rare-diseases/congenital-fiber-type-disproportion/,CFTDCFTDMcongenital myopathy with fiber-type disproportion
post-997,Congenital Fibrosis of the Extraocular Muscles,https://rarediseases.org/rare-diseases/congenital-fibrosis-of-the-extraocular-muscles/,congenital fibrosis syndrome
post-998,Congenital Generalized Lipodystrophy,https://rarediseases.org/rare-diseases/congenital-generalized-lipodystrophy/,Berardinelli-Seip syndromeBerardinelli Seip congenital lipodystrophyBSCLCGLcongenital lipoatrophic diabetes
post-1218,Congenital Heart Block,https://rarediseases.org/rare-diseases/heart-block-congenital/,atrioventricular (AV) blockCHB
post-1225,Congenital Hepatic Fibrosis,https://rarediseases.org/rare-diseases/hepatic-fibrosis-congenital/,CHF
post-999,Congenital Hyperinsulinism,https://rarediseases.org/rare-diseases/congenital-hyperinsulinism/,CHIfamilial hyperinsulinismHIislet cell dysregulation syndromenesidioblastosis (antiquated)persistent hyperinsulinemic hypoglycemia of infancy (PHHI)
post-1000,Congenital Lactic Acidosis,https://rarediseases.org/rare-diseases/congenital-lactic-acidosis/,N/A
post-110641,Congenital Leptin Deficiency,https://rarediseases.org/rare-diseases/congenital-leptin-deficiency/,"obesity due to congenital leptin deficiencyLEPDleptin deficiency or dysfunctionobesity, morbid due to congenital leptin deficiencyCLDleptin deficiency"
post-1001,Congenital Muscular Dystrophy,https://rarediseases.org/rare-diseases/congenital-muscular-dystrophy/,CMD
post-1893,Congenital Myasthenic Syndromes,https://rarediseases.org/rare-diseases/congenital-myasthenic-syndromes/,CMS
post-1482,Congenital Myopathy,https://rarediseases.org/rare-diseases/myopathy-congenital-batten-turner-type/,CMBatten Turner congenital myopathy
post-1002,Congenital Pulmonary Lymphangiectasia,https://rarediseases.org/rare-diseases/congenital-pulmonary-lymphangiectasia/,CPLPPLprimary pulmonary lymphangiectasiapulmonary cystic lymphangiectasis
post-1056,Congenital Sucrase-Isomaltase Deficiency,https://rarediseases.org/rare-diseases/disaccharide-intolerance-i/,CSIDcongenital sucrase-isomaltase malabsorptionSI deficiencycongenital sucrose intolerancedisaccharide intolerance I
post-1753,Congenital Syphilis,https://rarediseases.org/rare-diseases/congenital-syphilis/,"Lues, Congenital"
post-2028,Congenital Tracheomalacia,https://rarediseases.org/rare-diseases/congenital-tracheomalacia/,congenital major airway collapsetype 1 tracheomalaciacongenital TM
post-1004,Congenital Type 1 Plasminogen Deficiency,https://rarediseases.org/rare-diseases/congenital-plasminogen-deficiency/,N/A
post-1003,Congenital Varicella Syndrome,https://rarediseases.org/rare-diseases/congenital-varicella-syndrome/,Fetal Effects of ChickenpoxFetal Effects of Varicella Zoster VirusFetal Varicella InfectionFetal Varicella Zoster SyndromeVaricella Embryopathy
post-1005,Conradi Hünermann Syndrome,https://rarediseases.org/rare-diseases/conradi-hunermann-syndrome/,CDPXD2CDPX2X-linked dominant chondrodysplasia punctata 2Conradi-Hunermann-Happle syndromeHapple syndromechondrodysplasia punctata type 2
post-1973,COPA Syndrome,https://rarediseases.org/rare-diseases/copa-syndrome/,N/A
post-1007,Cor Triatriatum,https://rarediseases.org/rare-diseases/cor-triatriatum/,Cor Triatriatum SinistrumTriatrial Heart
post-1008,Corneal Dystrophies,https://rarediseases.org/rare-diseases/corneal-dystrophies/,N/A
post-1009,Cornelia de Lange Syndrome,https://rarediseases.org/rare-diseases/cornelia-de-lange-syndrome/,BDLSBrachmann-de Lange syndromeCdLSde Lange syndromeCornelia de Lange syndrome spectrum
post-1010,Corticobasal Degeneration,https://rarediseases.org/rare-diseases/corticobasal-degeneration/,CBDCBGDcortical basal ganglionic degenerationcortical basal ganglionic degeneration
post-1011,Costello Syndrome,https://rarediseases.org/rare-diseases/costello-syndrome/,faciocutaneoskeletal syndromeFCS syndrome
post-1012,Craniofrontonasal Dysplasia,https://rarediseases.org/rare-diseases/craniofrontonasal-dysplasia/,CFNDcraniofrontonasal dysostosiscraniofrontonasal syndromeCFNS
post-1013,Craniometaphyseal Dysplasia,https://rarediseases.org/rare-diseases/craniometaphyseal-dysplasia/,CMDJackson type CMDosteochondrodysplasia
post-1996,Craniopharyngioma,https://rarediseases.org/rare-diseases/craniopharyngioma/,Rathke’s pouch tumorcraniopharyngeal duct tumor
post-1966,Creatine Transporter Deficiency,https://rarediseases.org/rare-diseases/creatine-transporter-deficiency/,creatine transporter defectCTDX-linked creatine deficiencyCRTRSLC6A8
post-1014,Creutzfeldt-Jakob Disease,https://rarediseases.org/rare-diseases/creutzfeldt-jakob-disease/,CJDJakob-Creutzfeldt DiseaseJakob's Diseasesubacute spongiform encephalopathy
post-1015,Cri du Chat Syndrome,https://rarediseases.org/rare-diseases/cri-du-chat-syndrome/,5p- syndromecat's cry syndromeCdCSLejeune syndrome
post-1016,Crigler Najjar Syndrome,https://rarediseases.org/rare-diseases/crigler-najjar-syndrome/,familial nonhemolytic unconjugated hyperbilirubinemiahereditary unconjugated hyperbilirubinemia
post-1017,Cronkhite-Canada Syndrome,https://rarediseases.org/rare-diseases/cronkhite-canada-syndrome/,"allergic granulomatous angiitis of Cronkhite-CanadaCanada-Cronkhite diseaseCCDCCSgastrointestinal polyposis and ectodermal changespolyposis, skin pigmentation, alopecia, and fingernail changes"
post-1018,Crouzon Syndrome,https://rarediseases.org/rare-diseases/crouzon-syndrome/,"craniofacial dysostosiscraniostenosis, Crouzon typeCrouzon craniofacial dysostosis"
post-1019,Cryptococcosis,https://rarediseases.org/rare-diseases/cryptococcosis/,Busse-Buschke DiseaseCryptococcic MeningitisCryptococcosis LungCryptococcosis SkinEuropean BlastomycosisTorular MeningitisTorulosis
post-111932,CTNNB1 Syndrome,https://rarediseases.org/rare-diseases/ctnnb1-syndrome/,CTNNB1 neurodevelopmental disorder (CTNNB1-NDD)neurodevelopmental disorder with spastic diplegia and visual defects (NEDSDV)severe intellectual disability-progressive spastic diplegia syndrome
post-1020,Cushing Syndrome,https://rarediseases.org/rare-diseases/cushing-syndrome/,hypercortisolismCushing's syndrome
post-1021,Cutaneous T-Cell Lymphomas,https://rarediseases.org/rare-diseases/cutaneous-t-cell-lymphomas/,CTCL
post-1824,Cutaneous Vasculitis,https://rarediseases.org/rare-diseases/cutaneous-vasculitis/,Cutaneous Leukocytoclastic AngiitisDermal Necrotizing AngiitisHypersensitivity Vasculitis
post-1022,Cutis Laxa,https://rarediseases.org/rare-diseases/cutis-laxa/,Elastolysis
post-1023,Cutis Marmorata Telangiectatica Congenita,https://rarediseases.org/rare-diseases/cutis-marmorata-telangiectatica-congenita/,CMTCVan Lohuizen syndrome
post-1024,Cyclic Neutropenia,https://rarediseases.org/rare-diseases/cyclic-neutropenia/,CNCyNcyclic hematopoiesishuman cyclic neutropeniaperiodic neutropenia
post-1025,Cyclic Vomiting Syndrome,https://rarediseases.org/rare-diseases/cyclic-vomiting-syndrome/,adult cyclic vomiting syndromeabdominal migrainechildhood cyclic vomitingCVScyclical vomitingperiodic syndrome
post-1026,Cystic Fibrosis,https://rarediseases.org/rare-diseases/cystic-fibrosis/,CFfibrocystic disease of pancreasmucoviscidosispancreatic fibrosis
post-1027,Cysticercosis,https://rarediseases.org/rare-diseases/cysticercosis/,neurocysticercosis (NCC)solitary cysticercus granuloma
post-1028,Cystinosis,https://rarediseases.org/rare-diseases/cystinosis/,N/A
post-1029,Cystinuria,https://rarediseases.org/rare-diseases/cystinuria/,CSNUcystinuria-lysinuria
post-1030,Cytochrome C Oxidase Deficiency,https://rarediseases.org/rare-diseases/cytochrome-c-oxidase-deficiency/,complex IV deficiencyCOX deficiencydeficiency of mitochondrial respiratory chain complex IV
post-1031,Cytomegalovirus Infection,https://rarediseases.org/rare-diseases/cytomegalovirus-infection/,"CMVCytomegalic Inclusion DiseaseGiant Cell Inclusion Disease (CID)Human Cytomegalovirus InfectionSalivary Gland Disease, CMV Type"
post-1032,Dandy Walker Malformation,https://rarediseases.org/rare-diseases/dandy-walker-malformation/,"Dandy-Walker CystDandy-Walker DeformityDandy-Walker SyndromeDWMHydrocephalus, Internal, Dandy-Walker TypeHydrocephalus, Noncommunicating, Dandy-Walker TypeLuschka-Magendie Foramina Atresia"
post-1033,Danon Disease,https://rarediseases.org/rare-diseases/danon-disease/,"Antopol diseaseglycogen storage cardiomyopathyglycogen storage disease type IIBGSD IIBlysosomal glycogen storage disease without acid maltase deficiencypseudoglycogenosis IIvacuolar cardiomyopathy and myopathy, X-linked"
post-1034,De Barsy Syndrome,https://rarediseases.org/rare-diseases/de-barsy-syndrome/,autosomal recessive cutis laxa type 3 (ARCL3)corneal clouding-cutis laxa-intellectual disabilityDBSDe Barsy-Moens-Dierckx syndromeprogeroid syndrome of De Barsy
post-1035,De Sanctis Cacchione Syndrome,https://rarediseases.org/rare-diseases/de-sanctis-cacchione-syndrome/,Xerodermic Idiocy
post-1036,Degos Disease,https://rarediseases.org/rare-diseases/degos-disease/,"Degos-Kohlmeier diseaseDegos syndromeKohlmeier-Degos disease / Köhlmeier-Degos diseasemalignant atrophic papulosisMAPpapulosis atrophicans malignaDegos's malignant atrophic papulosisatrophic papulosis, malignantKöhlmeier-Degos-Delort-Tricort syndromeerythrokeratoderma en cocardesgenodermatose en cocardeslethal cutaneous and gastrointestinal arteriolar thrombosis"
post-1037,Dejerine-Sottas Syndrome,https://rarediseases.org/rare-diseases/dejerine-sottas-disease/,"hereditary motor sensory neuropathy type III, HSMN type IIICharcot-Marie-Tooth disease, type 3CMT3DSShypertrophic neuropathy of Dejerine-Sottas"
post-1038,Dengue Fever,https://rarediseases.org/rare-diseases/dengue-fever/,denguedengue virusbreakbone feverdandy fever
post-1040,Dent Disease,https://rarediseases.org/rare-diseases/dent-disease/,N/A
post-1041,Dentin Dysplasia Type I,https://rarediseases.org/rare-diseases/dentin-dysplasia-type-i/,"Dentin Dysplasia, RadicularOpalescent DentinPulpless TeethRadicular Dentin DysplasiaRootless TeethThistle Tube Teeth"
post-1042,Dentin Dysplasia Type II,https://rarediseases.org/rare-diseases/dentin-dysplasia-type-ii/,coronal dentin dysplasiaDD-II
post-1043,Dentinogenesis Imperfecta Type III,https://rarediseases.org/rare-diseases/dentinogenesis-imperfecta-type-iii/,"Brandywine Type Dentinogenesis ImperfectaDentinogenesis Imperfecta, Shields Type"
post-1044,Denys-Drash Syndrome,https://rarediseases.org/rare-diseases/denys-drash-syndrome/,"DDSDrash syndromenephropathy and disorders of sexual developmentWilms tumor, pseudo or true hermaphroditism"
post-1980,Deoxyhypusine Synthase Disorder,https://rarediseases.org/rare-diseases/deoxyhypusine-synthase-disorder/,DHPS disorderDHPS deficiencydeoxyhypusine synthase deficiencyneurodevelopmental disorder with seizures and speech and walking impairment
post-1045,Depersonalization Disorder,https://rarediseases.org/rare-diseases/depersonalization-disorder/,Depersonalization Neurosis
post-1046,Dercum’s Disease,https://rarediseases.org/rare-diseases/dercums-disease/,adiposis dolorosafatty tissue rheumatismjuxta-articular adiposis dolorosalipomatosis dolorosamorbus Dercum's
post-1047,Dermatitis Herpetiformis,https://rarediseases.org/rare-diseases/dermatitis-herpetiformis/,Duhring-Brocq diseaseBrocq-Duhring diseaseDuhring diseasedermatitis multiformisDH
post-1048,Dermatomyositis,https://rarediseases.org/rare-diseases/dermatomyositis/,ADMchildhood dermatomyositisidiopathic inflammatory myopathyIIMpolymyositis
post-1049,Desmoid Tumor,https://rarediseases.org/rare-diseases/desmoid-tumor/,aggressive fibromatosisdeep fibromatosismusculoaponeurotic fibromatosisnonmetastasizing fibrosarcoma
post-1050,Dextrocardia with Situs Inversus,https://rarediseases.org/rare-diseases/dextrocardia-with-situs-inversus/,Mirror-Image Dextrocardia
post-773,Diamond Blackfan Anemia,https://rarediseases.org/rare-diseases/anemia-blackfan-diamond/,"Aase-Smith II SyndromeAase Syndromeanemia, congenital erythroid hypoplasticanemia, congenital pure red cellaplasia, congenital pure red cellcongenital hypoplastic anemiacongenital PRCABlackfan-Diamond anemiaerythrogenesis imperfectahypoplastic congenital anemiainherited erythroblastopeniaDBA"
post-1051,Diastrophic Dysplasia,https://rarediseases.org/rare-diseases/diastrophic-dysplasia/,DDDiastrophic DwarfismDiastrophic Nanism SyndromeDTD
post-1052,Diencephalic Syndrome,https://rarediseases.org/rare-diseases/diencephalic-syndrome/,diencephalic syndrome of childhooddiencephalic syndrome of emaciationparamedian diencephalic syndromeRussell's diencephalic cachexiaRussell's syndrome
post-1054,Diffuse Pulmonary Lymphangiomatosis,https://rarediseases.org/rare-diseases/diffuse-pulmonary-lymphangiomatosis/,DPLpulmonary lymphangiomatosis
post-1055,"Dilatation of the Pulmonary Artery, Idiopathic",https://rarediseases.org/rare-diseases/dilatation-of-the-pulmonary-artery-idiopathic/,IDPA
post-1057,Distal Myopathy,https://rarediseases.org/rare-diseases/distal-myopathy/,Distal Muscular Dystrophy
post-1468,Dominant Multiple Epiphyseal Dysplasia,https://rarediseases.org/rare-diseases/dominant-multiple-epiphyseal-dysplasia/,MEDAD-MEDAutosomal Dominant Multiple Epiphyseal DysplasiadMED
post-260348,Dominant Titinopathy,https://rarediseases.org/rare-diseases/dominant-titinopathy/,"TTN-related dilated cardiomyopathy (DCM)cardiomyopathy, dilated, 1Gcardiomyopathy, familial hypertrophic, 9hereditary myopathy with early respiratory failure (HMERF)myopathy, myofibrillar, 9, with early respiratory failuretibial muscular dystrophy (TMD, Udd myopathy)tibial muscular dystrophy, tardive"
post-1058,DOORS Syndrome,https://rarediseases.org/rare-diseases/door-syndrome/,DOOR syndromedigito-reno-cerebral syndromeautosomal recessive deafness-onychodystrophy syndromedeafness-onychodystrophy-osteodystrophy-intellectual disability syndromedeafness-onycho-osteodystrophy-intellectual disability syndrome
post-1060,Dracunculosis,https://rarediseases.org/rare-diseases/dracunculosis/,DracontiasisDracunculiasisFiery Serpent InfectionGuinea Worm Infection
post-1061,Dravet Syndrome,https://rarediseases.org/rare-diseases/dravet-syndrome-spectrum/,DSsevere myoclonic epilepsy of infancy (SMEI)severe myoclonic epilepsy of infancy – borderline (SMEI-B)epilepsy with polymorphic seizurespolymorphic epilepsy of infancy (PMEI)
post-253869,Drug Reaction with Eosinophilia and Systemic Symptoms (DReSS),https://rarediseases.org/rare-diseases/drug-reaction-with-eosinophilia-and-systemic-symptoms-dress/,DReSS syndromeDRESS syndromedrug rash with eosinophilia and systemic symptomsdrug induced hypersensitivity syndrome (DIHS)drug-induced pseudolymphomadrug-induced delayed multiorgan hypersensitivity syndrome (DIDMOHS)drug hypersensitivity syndrome (DHS)
post-1062,Duane syndrome,https://rarediseases.org/rare-diseases/duane-syndrome/,DR syndromeDuane radial ray syndrome (DRRS)Duane's retraction syndromeeye retraction syndromeretraction syndromeStilling-Turk-Duane syndrome
post-1063,Dubin Johnson Syndrome,https://rarediseases.org/rare-diseases/dubin-johnson-syndrome/,chronic idiopathic jaundiceconjugated hyperbilirubinemiaDJShyperbilirubinemia IIblack liver-jaundice syndromeDubin-Sprinz syndrome
post-1064,Dubowitz Syndrome,https://rarediseases.org/rare-diseases/dubowitz-syndrome/,Intrauterine Dwarfismdwarfism-eczema-peculiar facies syndrome
post-1065,Duchenne Muscular Dystrophy,https://rarediseases.org/rare-diseases/duchenne-muscular-dystrophy/,DMDdystrophinopathypseudohypertrophic myopathy
post-1066,Duodenal Atresia or Stenosis,https://rarediseases.org/rare-diseases/duodenal-atresia-or-stenosis/,Duodenal AtresiaDuodenal Stenosis
post-1951,Dup15q Syndrome,https://rarediseases.org/rare-diseases/dup15q-syndrome/,15q11.2-q13.1 duplication syndromedup15q syndromeinverted duplication 15 (inv dup15)partial trisomy 15isodicentric chromosome 15 syndrome [Idic(15)]interstitial duplication chromosome 15 [Int dup(15)]supernumerary marker chromosome 15 (SMC15)partial tetrasomy 15qinterstitial triplication 15 [Int trp(15)]
post-1068,Dyggve Melchior Clausen syndrome,https://rarediseases.org/rare-diseases/dyggve-melchior-clausen-syndrome/,DMC diseasepseudo-Morquio disease type I
post-1069,"Dysautonomia, Familial",https://rarediseases.org/rare-diseases/dysautonomia-familial/,"FDHereditary Sensory and Autonomic Neuropathy, Type III (HSAN, Type III)Hereditary Sensory Neuropathy Type IIIHSAN-IIIHSN-IIIRiley-Day Syndrome"
post-1071,Dyskeratosis Congenita,https://rarediseases.org/rare-diseases/dyskeratosis-congenita/,DCDKCdysfunctional telomere maintenancedyskeratosis congenita syndromeshort telomere disease
post-1072,Dysplasia Epiphysealis Hemimelica,https://rarediseases.org/rare-diseases/dysplasia-epiphysealis-hemimelica/,DEHTrevor's disease
post-1073,Dystonia,https://rarediseases.org/rare-diseases/dystonia/,torsion dystonia
post-1076,Eales Disease,https://rarediseases.org/rare-diseases/eales-disease/,Eales RetinopathyIdiopathic Peripheral Periphlebitis
post-1078,Ectodermal Dysplasias,https://rarediseases.org/rare-diseases/ectodermal-dysplasias/,ED
post-1079,Ectrodactyly Ectodermal Dysplasia Cleft Lip/Palate,https://rarediseases.org/rare-diseases/ectrodactyly-ectodermal-dysplasia-cleft-lippalate/,ectrodactyly-ectodermal dysplasia-clefting syndromeectrodactyly-ectodermal dysplasia-orofacial cleftsEEC syndrome
post-111336,EEF1A2-Related Neurodevelopmental Disorder,https://rarediseases.org/rare-diseases/eef1a2-related-neurodevelopmental-disorder/,"developmental and epileptic encephalopathy-33 (DEE 33)epileptic encephalopathy, early infantile, 33intellectual developmental disorder, autosomal dominant 38psychomotor retardation, epilepsy, and language disability syndromeRett-like syndrome"
post-1080,Ehlers Danlos Syndrome,https://rarediseases.org/rare-diseases/ehlers-danlos-syndrome/,EDSE-D Syndrome
post-1081,Eisenmenger Syndrome,https://rarediseases.org/rare-diseases/eisenmenger-syndrome/,Eisenmenger complexEisenmenger diseaseEisenmenger physiologyEisenmenger reaction
post-1082,Elephantiasis,https://rarediseases.org/rare-diseases/elephantiasis/,N/A
post-1083,Ellis-Van Creveld Syndrome,https://rarediseases.org/rare-diseases/ellis-van-creveld-syndrome/,chondroectodermal dysplasiaEVCmesoectodermal dysplasia
post-1084,Emery Dreifuss Muscular Dystrophy,https://rarediseases.org/rare-diseases/emery-dreifuss-muscular-dystrophy/,EDMD
post-1085,"Emphysema, Congenital Lobar",https://rarediseases.org/rare-diseases/emphysema-congenital-lobar/,"CLECongenital Pulmonary EmphysemaEmphysema, Localized CongenitalLobar Emphysema, InfantileLobar Tension Emphysema in Infancy"
post-1086,Empty Sella Syndrome,https://rarediseases.org/rare-diseases/empty-sella-syndrome/,empty sella turcicaESS
post-1087,"Encephalitis, Herpes Simplex",https://rarediseases.org/rare-diseases/encephalitis-herpes-simplex/,Herpes EncephalitisHerpetic Brainstem EncephalitisHerpetic MeningoencephalitisHSE
post-1088,"Encephalitis, Japanese",https://rarediseases.org/rare-diseases/encephalitis-japanese/,Japanese B EncephalitisJERussian Autumnal EncephalitisSummer Encephalitis
post-1089,Encephalocele,https://rarediseases.org/rare-diseases/encephalocele/,cephalocelecraniocelecranium bifidum
post-1090,Endocardial Fibroelastosis,https://rarediseases.org/rare-diseases/endocardial-fibroelastosis/,EFEElastic tissue hyperplasiaEndocardial DysplasiaEndocardial sclerosisFetal Endomyocardial FibrosisSubendocardial Sclerosis
post-1092,Endomyocardial Fibrosis,https://rarediseases.org/rare-diseases/endomyocardial-fibrosis/,Davies' diseaseEMFfibroelastic endocarditisLoeffler endomyocardial fibrosis with eosinophiliaLoeffler fibroplastic parietal endocarditisLoeffler's disease
post-1093,Enterobiasis,https://rarediseases.org/rare-diseases/enterobiasis/,OxyuriasisPinworm InfectionSeatworm Infection
post-259548,Enthesitis-Related Juvenile Idiopathic Arthritis,https://rarediseases.org/rare-diseases/enthesitis-related-juvenile-idiopathic-arthritis/,"ERAjuvenile spondyloarthropathyjuvenile enthesitis-related arthritisenthesitis related arthritis, juvenileenthesitis-related arthritisenthesitis-related JIA"
post-1094,Eosinophilia-Myalgia Syndrome,https://rarediseases.org/rare-diseases/eosinophilia-myalgia-syndrome/,EMS
post-1095,Eosinophilic Esophagitis,https://rarediseases.org/rare-diseases/eosinophilic-esophagitis/,allergic esophagitisEoE
post-1096,Eosinophilic Fasciitis,https://rarediseases.org/rare-diseases/eosinophilic-fasciitis/,diffuse eosinophilic fasciitisShulman syndrome
post-1097,Eosinophilic Gastroenteritis,https://rarediseases.org/rare-diseases/eosinophilic-gastroenteritis/,EGEGEEGIDeosinophilic gastritiseosinophilic gastroenteropathyeosinophilic gastrointestinal disorders
post-1098,Epidermal Nevus Syndromes,https://rarediseases.org/rare-diseases/epidermal-nevus-syndromes/,ENSs
post-1099,Epidermolysis Bullosa,https://rarediseases.org/rare-diseases/epidermolysis-bullosa/,EB
post-1100,Epidermolytic Ichthyosis,https://rarediseases.org/rare-diseases/epidermolytic-ichthyosis/,bullous congenital ichthyosiform erythroderma (of Brocq)epidermolytic hyperkeratosis (EHK)congenital bullous ichthyosiform erythroderma (BCIE)bullous ichthyosiform erythroderma congenitabullous ichthyosiform erythrodermabullous erythroderma ichthyosiformis congenita of BrocqEI
post-152960,Epilepsy with Eyelid Myoclonia,https://rarediseases.org/rare-diseases/epilepsy-with-eyelid-myoclonia/,Eyelid myoclonia with or without absenceJeavons syndrome
post-124536,Epithelioid Hemangioendothelioma,https://rarediseases.org/rare-diseases/epithelioid-hemangioendothelioma/,EHE
post-1101,"Epitheliopathy, Acute Posterior Multifocal Placoid Pigment",https://rarediseases.org/rare-diseases/epitheliopathy-acute-posterior-multifocal-placoid-pigment/,Acute multifocal placoid pigment epitheliopathyAcute placoid pigment epitheliopathyAMPPEAPMPPEMultifocal placoid pigment epitheliopathy
post-1102,Erdheim Chester Disease,https://rarediseases.org/rare-diseases/erdheim-chester-disease/,ECDlipoid granulomatosis
post-1104,Erythema Multiforme,https://rarediseases.org/rare-diseases/erythema-multiforme/,"Dermatostomatitis, Erythema Multiforme TypeErythema Multiforme BullosumErythema Polymorphe, Erythema Multiforme TypeFebrile Mucocutaneous SyndromeHerpes Iris, Erythema Multiforme Type"
post-1620,Erythrokeratoderma,https://rarediseases.org/rare-diseases/https-rarediseases-org-rare-diseases-erythrokeratoderma/,N/A
post-1106,Erythromelalgia,https://rarediseases.org/rare-diseases/erythromelalgia/,erythermalgiaGerhardt diseaseMitchell diseaseWeir-Mitchell disease
post-1107,Erythropoietic Protoporphyria and X-Linked Protoporphyria,https://rarediseases.org/rare-diseases/erythropoietic-protoporphyria/,EPPerythrohepatic protoporphyriaprotoporphyria
post-1672,ESCO2 Spectrum Disorder,https://rarediseases.org/rare-diseases/roberts-syndrome/,N/A
post-1108,Esophageal Atresia and/or Tracheoesophageal Fistula,https://rarediseases.org/rare-diseases/esophageal-atresia-andor-tracheoesophageal-fistula/,atresia of esophagus with or without tracheoesophageal fistulaesophageal atresiatracheoesophageal fistulatracheoesophageal fistula with or without esophageal atresia
post-1984,Esophageal Cancer,https://rarediseases.org/rare-diseases/esophageal-cancer/,N/A
post-1109,Essential Iris Atrophy,https://rarediseases.org/rare-diseases/essential-iris-atrophy/,"ICE syndrome, essential iris atrophy typeiridocorneal endothelial (ICE) syndrome, essential iris atrophyprogressive essential iris atrophy"
post-1110,Essential Thrombocythemia,https://rarediseases.org/rare-diseases/essential-thrombocythemia/,essential hemorrhagic thrombocythemiaessential thrombocytosisETidiopathic thrombocythemiaidiopathic thrombocytosisprimary thrombocythemia
post-1112,Evans Syndrome,https://rarediseases.org/rare-diseases/evans-syndrome/,N/A
post-1113,Ewing Sarcoma,https://rarediseases.org/rare-diseases/ewing-sarcoma/,EFTEwing family of tumorsEwing's SarcomaEwing tumorTEFtumor of the Ewing family (TEF)
post-1115,Fabry Disease,https://rarediseases.org/rare-diseases/fabry-disease/,alpha-galactosidase A deficiencyAnderson-Fabry diseaseangiokeratoma corporis diffusumangiokeratoma diffuseGLA deficiency
post-1116,Facioscapulohumeral Muscular Dystrophy,https://rarediseases.org/rare-diseases/facioscapulohumeral-muscular-dystrophy/,facio-scapulo-humeral dystrophyFMDFSHFSHD
post-1117,Factor VII Deficiency,https://rarediseases.org/rare-diseases/factor-vii-deficiency/,Alexander's diseasecongenital factor VII deficiencyinherited factor VII deficiency
post-1945,Factor X Deficiency,https://rarediseases.org/rare-diseases/factor-x-deficiency/,congenital factor X deficiencycongenital Stuart factor deficiencyF10 deficiencyStuart-Power factor deficiency
post-1118,Factor XI Deficiency,https://rarediseases.org/rare-diseases/factor-xi-deficiency/,haemophilia Chemophilia Cplasma thromboplastin antecedent deficiencyPTA deficiencyRosenthal syndrome
post-1119,Factor XII Deficiency,https://rarediseases.org/rare-diseases/factor-xii-deficiency/,F12 deficiencyHAF deficiencyHageman factor deficiencyHageman trait
post-1120,Factor XIII Deficiency,https://rarediseases.org/rare-diseases/factor-xiii-deficiency/,congenital factor XIII deficiencyfibrin stabilizing factor deficiencyinherited factor XIII deficiency
